sys.exec.out.time {s},time {s},altitude {m},latitude {r},longitude {r},seat_accel_x {m/s2},seat_accel_y {m/s2},seat_accel_z {m/s2}
14.8,14.81,1998.391335,0.4985224289,-1.406289164,-1.125744855,0.2437862109,1.583331329
14.9,14.91,2009.929326,0.4985225966,-1.406288742,-1.127727863,0.2523228653,1.495014886
15,15.01,2021.354112,0.4985227626,-1.406288321,-1.078919862,0.1956499188,1.525665151
15.1,15.11,2032.665851,0.4985229267,-1.406287899,-1.036110789,0.1669035336,1.541965272
15.2,15.21,2043.864737,0.4985230891,-1.406287478,-0.9969979725,0.1581038518,1.560468473
15.3,15.31,2054.950916,0.4985232498,-1.406287056,-0.9894157782,0.1237846109,1.489038678
15.4,15.41,2065.924629,0.4985234088,-1.406286635,-0.9462931343,0.1003108385,1.502825517
15.5,15.51,2076.786136,0.4985235661,-1.406286213,-0.9113166655,0.07086286066,1.500125353
15.6,15.61,2087.535549,0.4985237217,-1.40628579,-0.8843597764,0.04577597651,1.485744664
15.7,15.71,2098.173004,0.4985238757,-1.406285368,-0.8355505869,0.04211102387,1.524173269
15.8,15.81,2108.698665,0.498524028,-1.406284945,-0.8079379937,-0.04709466083,1.479751137
15.9,15.91,2119.112661,0.4985241788,-1.406284522,-0.8163012033,-0.06448174062,1.373362876
16,16.01,2129.415269,0.4985243281,-1.406284098,-0.8005981022,-0.08670437476,1.330585517
16.1,16.11,2139.606751,0.4985244761,-1.406283674,-0.8247968455,-0.06363569227,1.216057506
16.2,16.21,2149.68743,0.498524623,-1.406283249,-0.800341666,-0.07928786889,1.204108574
16.3,16.31,2159.657535,0.4985247687,-1.406282824,-0.8079955449,-0.09786931111,1.11444454
16.4,16.41,2169.517275,0.4985249134,-1.406282399,-0.7915421406,-0.1343106585,1.065977754
16.5,16.51,2179.266786,0.4985250571,-1.406281973,-0.7591926667,-0.1441968028,1.075145609
16.6,16.61,2188.906238,0.4985252,-1.406281547,-0.7228825886,-0.1530055642,1.092036581
16.7,16.71,2198.435869,0.4985253419,-1.406281121,-0.7050025175,-0.07388540469,1.110201198
16.8,16.81,2207.856064,0.4985254828,-1.406280694,-0.7176883105,-0.02421901235,1.040314869
16.9,16.91,2217.167178,0.4985256227,-1.406280267,-0.7151918128,-0.04581240196,0.9762469869
17,17.01,2226.369445,0.4985257617,-1.40627984,-0.6898967044,0.004150553314,0.9961122422
17.1,17.11,2235.463187,0.4985258998,-1.406279412,-0.6809934623,0.02728347804,0.9702527201
17.2,17.21,2244.448744,0.498526037,-1.406278985,-0.6900176414,0.06446938528,0.9022222972
17.3,17.31,2253.326475,0.4985261732,-1.406278557,-0.691164498,0.1729184153,0.8738410516
17.4,17.41,2262.096837,0.4985263086,-1.406278129,-0.6684698526,0.2098097664,0.883061287
17.5,17.51,2270.760142,0.4985264428,-1.406277702,-0.6389510609,0.2594960178,0.9140858868
17.6,17.61,2279.316654,0.498526576,-1.406277275,-0.6059221597,0.276667237,0.943727701
17.7,17.71,2287.766595,0.4985267079,-1.406276848,-0.5742562306,0.2928341892,0.9613232881
17.8,17.81,2296.110219,0.4985268387,-1.406276421,-0.5720471782,0.3073501595,0.9077162006
17.9,17.91,2304.347803,0.4985269683,-1.406275994,-0.5634452339,0.3286887752,0.881379317
18,18.01,2312.479536,0.4985270968,-1.406275567,-0.5333831517,0.2904664663,0.8815620887
18.1,18.11,2320.505593,0.4985272241,-1.406275141,-0.5455817742,0.308528101,0.800570236
18.2,18.21,2328.426299,0.4985273504,-1.406274714,-0.5445084498,0.3478624339,0.7673312939
18.3,18.31,2336.241963,0.4985274756,-1.406274288,-0.5066970084,0.3279556839,0.7961530686
18.4,18.41,2343.952744,0.4985275998,-1.406273862,-0.5021273949,0.3458972707,0.7654737313
18.5,18.51,2351.558866,0.4985277228,-1.406273436,-0.5046817673,0.3413602624,0.7101689515
18.6,18.61,2359.060558,0.4985278449,-1.406273011,-0.4996210215,0.3409262947,0.6737756197
18.7,18.71,2366.458039,0.498527966,-1.406272586,-0.5032450979,0.3450026432,0.6222918982
18.8,18.81,2373.75161,0.4985280862,-1.406272161,-0.5125539192,0.3616570268,0.5587767748
18.9,18.91,2380.94155,0.4985282055,-1.406271736,-0.5113402011,0.3284773995,0.503940075
19,19.01,2388.028065,0.4985283241,-1.406271312,-0.5041378712,0.3349767277,0.4777172672
19.1,19.11,2395.011379,0.4985284419,-1.406270888,-0.4950398577,0.3409633186,0.4556492437
19.2,19.21,2401.891726,0.498528559,-1.406270465,-0.4888733746,0.3303534662,0.421118221
19.3,19.31,2408.669315,0.4985286754,-1.406270043,-0.4865617906,0.3406321445,0.39030078
19.4,19.41,2415.344366,0.4985287912,-1.40626962,-0.4806130953,0.3479922337,0.3697855548
19.5,19.51,2421.917076,0.4985289063,-1.406269199,-0.4824696072,0.3377015506,0.3177135863
19.6,19.61,2428.387658,0.4985290208,-1.406268778,-0.4770158491,0.3332248206,0.2866259385
19.7,19.71,2434.756264,0.4985291347,-1.406268357,-0.4444768506,0.2803025735,0.3039715406
19.8,19.81,2441.02294,0.4985292481,-1.406267937,-0.4217032813,0.2759829475,0.3205543996
19.9,19.91,2447.187797,0.4985293609,-1.406267517,-0.4189393969,0.2951661708,0.2980962807
20,20.01,2453.251035,0.4985294731,-1.406267098,-0.4175671714,0.2787263865,0.2575784643
20.1,20.11,2459.212841,0.4985295849,-1.406266679,-0.4170174354,0.2606959836,0.2209409888
20.2,20.21,2465.07333,0.4985296962,-1.406266261,-0.3908119164,0.2554850288,0.2467315239
20.3,20.31,2470.832594,0.498529807,-1.406265843,-0.3820665245,0.262028667,0.238961964
20.4,20.41,2476.490792,0.4985299174,-1.406265426,-0.3777018493,0.2555327671,0.2165842934
20.5,20.51,2482.048079,0.4985300273,-1.406265009,-0.3733305153,0.2472995202,0.1930411356
20.6,20.61,2487.504586,0.4985301368,-1.406264593,-0.3580349772,0.2384874166,0.1945680788
20.7,20.71,2492.860424,0.4985302459,-1.406264176,-0.3532264396,0.2542812211,0.1832291934
20.8,20.81,2498.115732,0.4985303545,-1.406263761,-0.3357999907,0.221934109,0.1769780765
20.9,20.91,2503.270571,0.4985304628,-1.406263346,-0.3267185892,0.2066828487,0.1616607738
21,21.01,2508.325071,0.4985305707,-1.406262931,-0.328326163,0.1982981362,0.1264393941
21.1,21.11,2513.279386,0.4985306783,-1.406262516,-0.3163019971,0.192526918,0.125378314
21.2,21.21,2518.133598,0.4985307855,-1.406262102,-0.3011734886,0.1747703717,0.1263140612
21.3,21.31,2522.887777,0.4985308925,-1.406261689,-0.2991860256,0.1867594326,0.1103181529
21.4,21.41,2527.542059,0.4985309991,-1.406261275,-0.2853945947,0.1725170304,0.1103032569
21.5,21.51,2532.096529,0.4985311054,-1.406260863,-0.2757731418,0.1583005109,0.1001742161
21.6,21.61,2536.551248,0.4985312115,-1.40626045,-0.2595555612,0.1414105784,0.1089068971
21.7,21.71,2540.906245,0.4985313173,-1.406260038,-0.2424385794,0.1286809274,0.1181230735
21.8,21.81,2545.161569,0.4985314229,-1.406259626,-0.236242009,0.1317929613,0.1081125794
21.9,21.91,2549.317329,0.4985315282,-1.406259214,-0.2380163048,0.1171600253,0.07435861115
22,22.01,2553.373638,0.4985316334,-1.406258803,-0.24089712,0.09524777702,0.03615404609
22.1,22.11,2557.330618,0.4985317384,-1.406258391,-0.2308798244,0.08645681862,0.03395718625
22.2,22.21,2561.188346,0.4985318432,-1.406257981,-0.2279441318,0.09082053986,0.02295976774
22.3,22.31,2564.94692,0.498531948,-1.40625757,-0.2234200982,0.07963253628,0.006023061035
22.4,22.41,2568.606441,0.4985320526,-1.40625716,-0.2183325729,0.0821564737,-0.00216129524
22.5,22.51,2572.167017,0.4985321572,-1.40625675,-0.2186344912,0.09293637685,-0.01710268357
22.6,22.61,2575.628776,0.4985322616,-1.406256341,-0.2128977132,0.09970631173,-0.02094830173
22.7,22.71,2578.991865,0.4985323659,-1.406255931,-0.2121827218,0.1111877006,-0.03294319232
22.8,22.81,2582.256415,0.4985324702,-1.406255523,-0.208174502,0.1061960001,-0.04432595491
22.9,22.91,2585.422516,0.4985325743,-1.406255114,-0.2024067418,0.1034956298,-0.04920853979
23,23.01,2588.490242,0.4985326784,-1.406254706,-0.1990950177,0.1020902071,-0.05916445479
23.1,23.11,2591.459678,0.4985327823,-1.406254298,-0.2025535553,0.09898440733,-0.08170155431
23.2,23.21,2594.330965,0.4985328863,-1.406253891,-0.2069486387,0.1063603686,-0.1012345958
23.3,23.31,2597.10425,0.4985329901,-1.406253484,-0.2044223071,0.1122516854,-0.1073861954
23.4,23.41,2599.77963,0.4985330939,-1.406253078,-0.1988636268,0.1240294741,-0.1030503316
23.5,23.51,2602.357218,0.4985331976,-1.406252672,-0.1992493283,0.1285160948,-0.1118141253
23.6,23.61,2604.837162,0.4985333013,-1.406252266,-0.1987254634,0.137530241,-0.1144087001
23.7,23.71,2607.219581,0.4985334048,-1.406251861,-0.1973531432,0.1420899102,-0.117691219
23.8,23.81,2609.504588,0.4985335083,-1.406251457,-0.2023562076,0.1472445789,-0.1287465656
23.9,23.91,2611.692305,0.4985336117,-1.406251053,-0.2090970923,0.1515938956,-0.1423321724
24,24.01,2613.78286,0.498533715,-1.406250649,-0.2069945688,0.1525737108,-0.1432604348
24.1,24.11,2615.776348,0.4985338182,-1.406250246,-0.2103687353,0.1595763796,-0.1477262277
24.2,24.21,2617.672891,0.4985339213,-1.406249843,-0.2152874295,0.1682027317,-0.1559695457
24.3,24.31,2619.472616,0.4985340243,-1.406249441,-0.2136432228,0.1634502759,-0.1632812719
24.4,24.41,2621.1756,0.4985341272,-1.406249039,-0.2155581483,0.1715940768,-0.1683046465
24.5,24.51,2622.781941,0.49853423,-1.406248638,-0.2130932301,0.1750482089,-0.1682580689
24.6,24.61,2624.291731,0.4985343327,-1.406248238,-0.2133839719,0.1830203146,-0.17050455
24.7,24.71,2625.705072,0.4985344353,-1.406247838,-0.2160995598,0.1886798559,-0.1774163237
